Player,ELO,Role,Form,LastPlayed,DaysSinceLastMatch
STR Binny,1587,all-rounder,0.09679164934582507,2024-03-31,347
N Burger,1585,bowler,0.258225641025641,2025-03-02,11
Sandeep Sharma,1585,bowler,0.24720966269009226,2025-03-11,2
C de Grandhomme,1584,all-rounder,0.10466633415268944,2024-04-01,346
Rahmanullah Gurbaz,1583,batsman,0.16061388823942016,2025-03-12,1
K Gowtham,1583,bowler,0.15612792848287077,2025-02-26,15
KR Sen,1582,bowler,0.21635629695974523,2025-01-31,41
KS Bharat,1582,batsman,0.15972428571428574,2024-10-31,133
S Tyagi,1582,bowler,0.13452238770001929,2022-08-29,927
C Munro,1582,batsman,0.07601388888888888,2024-04-06,341
KK Cooper,1581,bowler,0.29517054536794474,2023-06-10,642
Harpreet Brar,1581,bowler,0.16749204708604087,2025-03-08,5
JO Holder,1581,bowler,0.2541666959110895,2024-11-29,104
N Saini,1581,batsman,0.12975185185185184,2023-01-19,784
S Sreesanth,1580,bowler,0.20944324599288713,2023-03-25,719
PN Mankad,1580,batsman,0.1056054964539007,2024-12-29,74
S Anirudha,1579,batsman,0.0750672268907563,2023-06-08,644
SW Tait,1578,bowler,0.26480923309494736,2023-03-22,722
Anand Rajan,1578,bowler,0.27495920745920743,2023-04-11,702
AB Agarkar,1578,bowler,0.17069015298892593,2023-04-01,712
Simarjeet Singh,1577,bowler,0.2159157059314954,2025-03-07,6
A Nortje,1577,bowler,0.24835886154907888,2025-02-09,32
I Udana,1577,bowler,0.16670085470085466,2024-06-02,284
BJ Hodge,1577,batsman,0.16660593001426358,2023-06-10,642
CRD Fernando,1577,bowler,0.3361159544159544,2022-09-04,921
M de Lange,1576,bowler,0.2127065527065527,2023-07-26,596
Washington Sundar,1576,bowler,0.1763686357898222,2025-02-04,37
R Ravindra,1576,batsman,0.19806940457203617,2025-03-07,6
MK Tiwary,1576,batsman,0.12058694422786084,2024-02-03,404
RR Powar,1575,bowler,0.15448557679415376,2023-01-07,796
DR Smith,1575,batsman,0.20263117076379994,2023-12-02,467
LR Shukla,1575,all-rounder,0.08466962842122416,2023-05-17,666
G Gambhir,1574,batsman,0.16786767236660885,2023-12-31,438
P Parameswaran,1573,bowler,0.2273977272727273,2023-01-24,779
Abishek Porel,1573,batsman,0.18558316425584573,2025-03-04,9
KL Nagarkoti,1573,bowler,0.10040897435897438,2024-10-02,162
CA Pujara,1572,batsman,0.05879704221852391,2023-05-07,676
A Badoni,1572,batsman,0.108280822445793,2025-03-06,7
MM Ali,1571,all-rounder,0.15791735984334768,2025-03-02,11
JA Morkel,1571,bowler,0.2315234178821356,2023-09-06,554
KD Karthik,1570,batsman,0.15635747032141947,2025-03-10,3
PA Reddy,1570,batsman,0.042016216216216214,2023-03-21,723
R Sathish,1570,all-rounder,0.06936089340766761,2023-10-09,521
DJ Willey,1569,bowler,0.1869787878787879,2024-11-23,110
DJ Thornely,1568,all-rounder,0.1354721804511278,2022-04-25,1053
DJG Sammy,1568,all-rounder,0.11637026780038147,2023-06-22,630
J Syed Mohammad,1568,bowler,0.18413444976076548,2023-03-27,717
M Vohra,1568,batsman,0.12325055992124462,2024-12-02,101
R Dhawan,1567,bowler,0.16342857659426566,2025-03-08,5
T Kohli,1567,batsman,0.03571428571428572,2022-05-28,1020
KS Williamson,1567,batsman,0.1936481687626162,2025-01-21,51
PVD Chameera,1567,bowler,0.18876173397003354,2025-02-11,30
SM Pollock,1567,bowler,0.2579788838612368,2022-05-06,1042
AS Roy,1567,bowler,0.12888698669751303,2025-02-11,30
JJ Roy,1567,batsman,0.24036729956475444,2024-12-25,78
L Ablish,1566,bowler,0.2672161172161172,2022-10-20,875
GD McGrath,1566,bowler,0.2378333333333333,2022-05-08,1040
WPUJC Vaas,1566,bowler,0.32703666216824107,2022-08-30,926
GH Vihari,1566,batsman,0.057974724549460406,2024-02-20,387
R Bhatia,1566,bowler,0.2020449485107476,2023-10-20,510
DR Sams,1565,bowler,0.21804634417869712,2024-11-25,108
Shivam Sharma,1565,bowler,0.16853333333333334,2023-07-03,619
AB McDonald,1563,all-rounder,0.19053875980273263,2023-02-18,754
GB Hogg,1563,bowler,0.24382993197278913,2023-09-19,541
SM Curran,1563,all-rounder,0.17023997483938874,2025-03-05,8
RR Raje,1563,bowler,0.15744478632478634,2022-06-19,998
SN Khan,1562,batsman,0.10871952326090256,2024-11-27,106
RV Gomez,1562,all-rounder,0.09359514170040487,2023-04-09,704
K Santokie,1562,bowler,0.24999999999999997,2023-06-02,650
Akash Deep,1561,bowler,0.17941666666666667,2025-01-25,47
