team1,team2,venue,team1_avg_elo,team2_avg_elo,team1_avg_form,team2_avg_form,team2_batsmen_avg_elo,team2_batsmen_avg_form,team1_last_5_wins,team2_last_5_wins,team1_vs_team2_matches,team1_vs_team2_wins,team2_vs_team1_wins,head_to_head_wins,head_to_head_losses,team1_won
Chennai Super Kings,Kolkata Knight Riders,SuperSport Park,1635.2222222222222,1535.4,0.185344120077897,0.1734019531134766,1562.4,0.1521445255948862,4.0,0.0,29,19,10,19,10,0
Royal Challengers Bangalore,Delhi Capitals,New Wanderers Stadium,1586.3636363636365,1596.9,0.1959789732659864,0.1841783915501533,1589.6,0.1552703762089981,3.0,4.0,21,14,6,19,11,1
Kolkata Knight Riders,Rajasthan Royals,Kingsmead,1569.4545454545455,1533.1818181818182,0.1627577230205948,0.1583665034587262,1523.8333333333333,0.1269823185166368,1.0,2.0,28,14,14,14,14,1
Chennai Super Kings,Kings XI Punjab,Kingsmead,1609.6363636363635,1556.1818181818182,0.1941794768766531,0.1550079484511705,1552.0,0.1334183087055411,3.0,3.0,23,14,9,16,14,1
Royal Challengers Bangalore,Sunrisers Hyderabad,SuperSport Park,1597.4444444444443,1562.5454545454545,0.1889710726269239,0.1690252724608698,1544.6666666666667,0.1235460992516278,3.0,2.0,11,5,6,16,19,1
Delhi Capitals,Mumbai Indians,SuperSport Park,1587.8181818181818,1604.7272727272727,0.1520038082608849,0.2128536366438294,1612.8333333333333,0.1968459956167451,3.0,2.0,22,11,11,16,19,1
Delhi Capitals,Sunrisers Hyderabad,SuperSport Park,1620.1818181818182,1582.0,0.2180947983720081,0.1838440697403306,1562.4,0.1293934596921832,3.0,2.0,11,7,4,18,17,0
Royal Challengers Bangalore,Chennai Super Kings,New Wanderers Stadium,1639.090909090909,1612.4444444444443,0.1938285597144458,0.1987693334688442,1589.0,0.1588269047964432,4.0,3.0,30,10,20,11,21,1
Royal Challengers Bangalore,Sunrisers Hyderabad,New Wanderers Stadium,1570.5454545454545,1605.090909090909,0.1757045449501962,0.1898456292150392,1583.3333333333333,0.1557809232219342,5.0,2.0,11,5,6,16,19,0
Sunrisers Hyderabad,Kolkata Knight Riders,Dr DY Patil Sports Academy,1569.9,1560.3636363636365,0.1612864897318718,0.1749069881209687,1538.3333333333333,0.1257265700179063,3.0,2.0,9,2,7,11,26,0
Mumbai Indians,Rajasthan Royals,Brabourne Stadium,1624.090909090909,1534.4545454545455,0.1741318021951809,0.1763380286838459,1551.8,0.0973419376480392,2.0,1.0,29,15,14,15,14,1
Kings XI Punjab,Delhi Capitals,Punjab Cricket Association Stadium,1550.2727272727273,1597.6363636363635,0.1596897005570894,0.2101533591447261,1600.8333333333333,0.165287372937315,3.0,2.0,22,13,9,17,16,0
Chennai Super Kings,Sunrisers Hyderabad,MA Chidambaram Stadium,1568.0,1604.7272727272727,0.1850802266156052,0.1919240966606528,1604.2,0.1827619030579327,2.0,2.0,10,6,4,21,10,0
Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,1602.6363636363635,1562.8,0.1891818007647765,0.1538195268897494,1542.8,0.1298995161605816,3.0,4.0,32,18,14,20,14,1
Rajasthan Royals,Delhi Capitals,Narendra Modi Stadium,1555.8181818181818,1597.5454545454545,0.173832876653596,0.1977616868335491,1600.8333333333333,0.165287372937315,1.0,3.0,18,11,7,15,14,0
Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,1554.4444444444443,1631.125,0.1733909826553689,0.2129650793066371,1614.0,0.1875954727352867,3.0,2.0,26,12,14,16,17,1
Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,1607.0,1569.4545454545455,0.1964255079288105,0.142655779492437,1563.2,0.1439058510917989,4.0,2.0,29,10,19,10,19,0
Delhi Capitals,Mumbai Indians,Arun Jaitley Stadium,1627.8181818181818,1599.9,0.1785698346797884,0.2007510882802431,1606.2,0.1647713130514563,3.0,2.0,22,11,11,16,19,0
Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,1575.4545454545455,1626.5,0.1520781516879956,0.2165446457556419,1552.0,0.1583336582866147,3.0,1.0,29,15,12,15,14,1
Delhi Capitals,Chennai Super Kings,Arun Jaitley Stadium,1600.8181818181818,1603.090909090909,0.205787981598796,0.1902987152531607,1619.8,0.1731565380773418,3.0,2.0,18,6,12,11,19,0
Sunrisers Hyderabad,Kings XI Punjab,Barabati Stadium,1560.3636363636365,1549.1818181818182,0.1749069881209687,0.1596611922692155,1537.6,0.1268533469407187,3.0,2.0,10,3,7,19,14,1
Rajasthan Royals,Kolkata Knight Riders,Narendra Modi Stadium,1578.1818181818182,1564.2727272727273,0.1604381964468714,0.1598318708892609,1564.6666666666667,0.1297210496129197,0.0,4.0,28,14,14,14,14,1
Mumbai Indians,Royal Challengers Bangalore,Brabourne Stadium,1627.8181818181818,1632.4444444444443,0.1785698346797884,0.2029355780848168,1621.25,0.1713714966290285,2.0,3.0,32,18,14,19,14,0
Sunrisers Hyderabad,Delhi Capitals,Barabati Stadium,1561.0,1592.0,0.1812067261051242,0.1856120556417918,1566.0,0.1669065373002657,4.0,2.0,11,4,7,17,18,1
Chennai Super Kings,Kings XI Punjab,MA Chidambaram Stadium,1541.5454545454545,1614.090909090909,0.1589050309860888,0.1920594329376328,1619.8,0.1731565380773418,3.0,1.0,23,14,9,16,14,0
Mumbai Indians,Kolkata Knight Riders,Brabourne Stadium,1569.142857142857,1623.2,0.1863355784337693,0.1918858371874409,1601.0,0.1656983011043837,2.0,3.0,34,23,11,23,11,1
Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,1620.5454545454545,1612.5454545454545,0.1898953885753222,0.1872060623939368,1608.8333333333333,0.1628749140367415,3.0,2.0,30,10,20,11,21,1
Kings XI Punjab,Rajasthan Royals,Punjab Cricket Association Stadium,1578.1818181818182,1542.0,0.1604381964468714,0.1639011827314282,1555.4,0.124161580332841,1.0,1.0,21,9,12,12,16,0
Chennai Super Kings,Mumbai Indians,Brabourne Stadium,1634.5,1623.2,0.1962529801698959,0.1918858371874409,1601.0,0.1656983011043837,2.0,3.0,37,17,20,17,20,0
