,Player,ELO,Role,Form,LastPlayed,DaysSinceLastMatch,FormCategory,Status
255,Simarjeet Singh,1577,bowler,0.2159157059314954,2025-03-07,6,High,Active

256,A Nortje,1577,bowler,0.2483588615490788,2025-02-09,32,High,Active

261,Washington Sundar,1576,bowler,0.1763686357898222,2025-02-04,37,Medium,Active

262,R Ravindra,1576,batsman,0.1980694045720361,2025-03-07,6,High,Active

269,Abishek Porel,1573,batsman,0.1855831642558457,2025-03-04,9,Medium,Active

272,A Badoni,1572,batsman,0.108280822445793,2025-03-06,7,Low,Active

273,MM Ali,1571,all-rounder,0.1579173598433476,2025-03-02,11,Medium,Active

275,KD Karthik,1570,batsman,0.1563574703214194,2025-03-10,3,Medium,Active

283,R Dhawan,1567,bowler,0.1634285765942656,2025-03-08,5,Medium,Active

285,KS Williamson,1567,batsman,0.1936481687626162,2025-01-21,51,High,Active

286,PVD Chameera,1567,bowler,0.1887617339700335,2025-02-11,30,Medium,Active

288,AS Roy,1567,bowler,0.128886986697513,2025-02-11,30,Medium,Active

289,JJ Roy,1567,batsman,0.2403672995647544,2024-12-25,78,High,Active

299,SM Curran,1563,all-rounder,0.1702399748393887,2025-03-05,8,Medium,Active

304,Akash Deep,1561,bowler,0.1794166666666666,2025-01-25,47,Medium,Active

306,M Siddharth,1559,bowler,0.1007936507936508,2025-01-21,51,Low,Active

308,Naveen-ul-Haq,1559,bowler,0.2879386326659984,2025-03-06,7,High,Active

311,Umran Malik,1558,bowler,0.2209073557156333,2025-01-08,64,High,Active

317,K Rabada,1557,bowler,0.296035056889991,2025-02-22,19,High,Active

321,Vishnu Vinod,1557,batsman,0.0578571428571428,2024-12-30,73,Low,Active

327,MG Bracewell,1554,all-rounder,0.1539866666666666,2024-12-27,76,Medium,Active

330,S Gopal,1554,bowler,0.2097565353491823,2025-02-02,39,High,Active

334,S Dhawan,1553,batsman,0.1963381316551234,2025-01-23,49,High,Active

335,MK Pandey,1552,batsman,0.1583336582866147,2025-02-20,21,Medium,Active

